country_code,cluster_no,topic_no,topics
AE,0,0,"['store', 'build', 'stand', 'suit']"
AE,1,0,"['truck', 'motorcycl', 'stand', 'rid', 'bicycl', 'river']"
AE,2,0,"['cell', 'phone', 'sign', 'hold', 'anim', 'stuff', 'charger', 'street', 'say', 'lay']"
AE,2,1,"['suit', 'close', 'snowboard', 'cell', 'stand', 'phone', 'hold', 'room', 'person', 'hand']"
AE,2,2,"['room', 'woman', 'wear', 'suit', 'stand', 'stuff', 'anim', 'tenni', 'jacket', 'small']"
AE,2,3,"['woman', 'larg', 'stand', 'hydrant', 'room', 'white', 'clock', 'knife', 'motorcycl', 'eleph']"
AE,2,4,"['pictur', 'neck', 'wear', 'cell', 'phone', 'person', 'hold', 'shirt', 'skateboard', 'close']"
AE,2,5,"['black', 'white', 'photo', 'larg', 'cell', 'phone', 'hand', 'tabl', 'hold', 'screen']"
AE,2,6,"['group', 'stand', 'peopl', 'anim', 'stuff', 'tabl', 'sign', 'suit', 'white', 'platform']"
AE,2,7,"['close', 'black', 'background', 'sign', 'build', 'jacket', 'bird', 'stand', 'street', 'suit']"
AE,2,8,"['scissor', 'pair', 'cell', 'phone', 'hold', 'room', 'suit', 'hand', 'pictur', 'stand']"
AE,2,9,"['hand', 'person', 'phone', 'cell', 'hold', 'scissor', 'pair', 'close', 'black', 'woman']"
AE,3,0,"['train', 'sink', 'window', 'kitchen', 'citi', 'track', 'bunch', 'larg', 'station', 'build']"
AE,4,0,"['blue', 'person', 'hold', 'shirt', 'room', 'pair', 'scissor', 'woman', 'wear', 'kitchen']"
AE,4,1,"['cell', 'phone', 'wear', 'shirt', 'hold', 'woman', 'tabl', 'close', 'scissor', 'pair']"
AE,4,2,"['pair', 'scissor', 'skateboard', 'wear', 'pink', 'build', 'stand', 'suit', 'hold', 'shirt']"
AE,4,3,"['park', 'motorcycl', 'basebal', 'shirt', 'wear', 'street', 'paper', 'piec', 'cut', 'pair']"
AE,4,4,"['pink', 'woman', 'dress', 'shirt', 'wear', 'black', 'skateboard', 'hold', 'jacket', 'scissor']"
AE,5,0,"['shirt', 'glass', 'wine', 'hold', 'pink', 'woman']"
AE,6,0,"['shirt', 'wear', 'white', 'food', 'fli', 'larg', 'top', 'coffe', 'video', 'river']"
AE,6,1,"['stand', 'cell', 'phone', 'woman', 'hold', 'person', 'hand', 'peopl', 'group', 'build']"
AE,6,2,"['water', 'hold', 'hand', 'blue', 'toothbrush', 'peopl', 'walk', 'group', 'larg', 'fli']"
AE,6,3,"['suit', 'room', 'stand', 'scissor', 'pair', 'bunch', 'banana', 'woman', 'tabl', 'umbrella']"
AE,6,4,"['sit', 'tabl', 'room', 'walk', 'woman', 'beach', 'park', 'group', 'motorcycl', 'train']"
AE,6,5,"['hold', 'person', 'woman', 'water', 'surfboard', 'stand', 'hand', 'boat', 'bridg', 'basebal']"
AE,6,6,"['park', 'stand', 'woman', 'snowboard', 'walk', 'field', 'road', 'white', 'coffe', 'beach']"
AE,6,7,"['skateboard', 'cell', 'phone', 'rid', 'tenni', 'clock', 'hold', 'street', 'woman', 'ramp']"
AE,6,8,"['stand', 'flower', 'vase', 'woman', 'tabl', 'young', 'hold', 'mouth', 'fork', 'build']"
AE,6,9,"['wear', 'shirt', 'build', 'larg', 'clock', 'black', 'park', 'motorcycl', 'hold', 'white']"
AE,7,0,"['suit', 'room', 'stand', 'street', 'walk', 'peopl', 'citi', 'couch', 'group', 'umbrella']"
AE,7,1,"['clock', 'room', 'hold', 'suit', 'televis', 'build', 'phone', 'cell', 'street', 'chair']"
AE,7,2,"['kitchen', 'sink', 'stand', 'person', 'close', 'tabl', 'woman', 'bathroom', 'toilet', 'cell']"
AE,7,3,"['coffe', 'tabl', 'stand', 'group', 'room', 'peopl', 'top', 'live', 'couch', 'food']"
AE,7,4,"['laptop', 'train', 'chair', 'larg', 'white', 'sit', 'refriger', 'build', 'clock', 'tabl']"
AR,0,0,"['park', 'street']"
AR,1,0,"['scissor', 'pair', 'person', 'hand', 'hold', 'phone', 'cell', 'room', 'stand', 'suit']"
AR,1,1,"['pair', 'scissor', 'hold', 'book', 'person', 'racket', 'basebal', 'knife', 'surfboard', 'snowboard']"
AR,1,2,"['hand', 'hold', 'person', 'phone', 'cell', 'woman', 'white', 'pair', 'scissor', 'green']"
AR,1,3,"['scissor', 'pair', 'sit', 'white', 'tabl', 'skateboard', 'black', 'close', 'person', 'bunch']"
AR,1,4,"['stand', 'group', 'peopl', 'build', 'tabl', 'rid', 'motorcycl', 'person', 'suit', 'room']"
AR,1,5,"['scissor', 'pair', 'hand', 'hold', 'person', 'tabl', 'cell', 'phone', 'knife', 'anim']"
AR,1,6,"['wear', 'suit', 'stand', 'fork', 'food', 'woman', 'knife', 'neck', 'shirt', 'glass']"
AR,1,7,"['tenni', 'cell', 'phone', 'hold', 'racquet', 'court', 'park', 'white', 'person', 'woman']"
AR,1,8,"['basebal', 'hold', 'hand', 'phone', 'cell', 'build', 'close', 'player', 'suit', 'stand']"
AR,1,9,"['close', 'cake', 'tabl', 'knife', 'white', 'desk', 'street', 'shirt', 'laptop', 'cut']"
AR,2,0,"['bear', 'sit', 'stuff', 'tabl']"
AR,3,0,"['jacket', 'smile', 'wear']"
AR,4,0,"['desk', 'printer']"
