country_code,cluster_no,topic_no,topics
AE,0,0,"['kabul', 'fashionstyl', 'smile', 'photographi', 'mrkareem', 'modellif', 'karimafghani', 'kareemafghani', 'abudhabi', 'film']"
AE,1,0,"['cintabuta', 'hondaciv', 'dubai', 'dubaimarina', 'luxuri', 'dubaikreek', 'frame', 'dubaifram', 'burjkhalifa', 'oldcitydubai']"
AE,2,0,"['stayhom', 'staysaf', 'style', 'bangkok', 'captain', 'expensivehobbi', 'firstoff', 'follow', 'explor', 'masnewnorm']"
AE,2,1,"['pandemiclif', 'writetoyourself', 'growthroughit', 'vision', 'mentalhealthua', 'peaceandlov', 'peaceofmind', 'peacewithin', 'growthmindset', 'futurem']"
AE,2,2,"['hospit', 'alainuniv', 'dubai', 'cleanroom', 'clinic', 'rakhospit', 'outdoor', 'hassl', 'amazingabudhabi', 'simplyabudhabi']"
AE,2,3,"['dubaicovid', 'covidprotect', 'antenat', 'beauti', 'skincar', 'filler', 'laser', 'botox', 'aesthet', 'getoutsid']"
AE,2,4,"['cloth', 'shein', 'global', 'sale', 'abudhabi', 'vaccin', 'dubaiey', 'dubaism', 'covideffect', 'officespac']"
AE,2,5,"['forexkorea', 'forexbahrain', 'forexsweden', 'qatar', 'gold', 'thailandbrok', 'tigerteam', 'savecinema', 'forexgold', 'forexksa']"
AE,2,6,"['teamx', 'smarthom', 'smarthometech', 'smarthous', 'dubaiairport', 'abudhabiairport', 'airport', 'mall', 'thermalimag', 'hospit']"
AE,2,7,"['mask', 'staysaf', 'medic', 'almahealth', 'chronicil', 'covid', 'stayhealthi', 'protect', 'nomakeup', 'zinc']"
AE,2,8,"['leadership', 'team', 'teambuild', 'wonderlead', 'busi', 'train', 'motiv', 'activ', 'itsolut', 'smartsolut']"
AE,2,9,"['dontworri', 'fxmillionair', 'instagram', 'forexsweden', 'forexbahrain', 'usharjah', 'profess', 'reskil', 'upskil', 'career']"
AE,3,0,"['architectur', 'decor', 'design', 'interior', 'furnitur', 'homedecor', 'instagood', 'luxuri', 'pharmaci', 'interiordesign']"
AE,4,0,"['review', 'myreview', 'twitter', 'facebook', 'stayhealthi', 'septemb', 'xlinedubai', 'aindubai', 'ziplin', 'wing']"
AE,4,1,"['bossladi', 'uaemaskmask', 'dubaicat', 'petstagram', 'cool', 'mauidxb', 'mydubai', 'abudhabi', 'lockdown', 'wonderwoman']"
AE,4,2,"['discount', 'promocod', 'shoppingaddict', 'promot', 'onlineshop', 'liketim', 'forsal', 'ecofriend', 'safe', 'buynow']"
AE,4,3,"['cashondeliveri', 'orderonlin', 'uniquestyl', 'corona', 'protect', 'dubai', 'mask', 'dubaischool', 'dubailifestyl', 'staysafedubai']"
AE,4,4,"['braceletstack', 'fashionstyl', 'accessoryaddict', 'trendyjewelri', 'newnorm', 'chemicalguy', 'bahrain', 'kidschain', 'saudiarabia', 'chainmask']"
AE,6,0,"['expat', 'staycat', 'irishmammi', 'jumeirah', 'newnorm', 'instawatch', 'watch', 'dubailif', 'dailydiari', 'covidtim']"
AE,6,1,"['dubaibab', 'muaindubai', 'dubaifashion', 'dubailif', 'chemicalguy', 'weddingindubai', 'dubaipod', 'dubaiw', 'dressyourfac', 'promua']"
AE,6,2,"['dubailif', 'burjkhalifa', 'photographi', 'covid', 'dubailifestyl', 'visitdubai', 'setlif', 'postlockdown', 'dubaitour', 'emir']"
AE,6,3,"['tigerteam', 'savecinema', 'teambuild', 'leadership', 'team', 'busi', 'dubaifod', 'wonderlead', 'bluewat', 'lifeisjourney']"
AE,6,4,"['style', 'syriaua', 'babylov', 'uaehaircut', 'hairstyl', 'friendlysaloon', 'khalidiyacorona', 'colorhair', 'inabudhabi', 'abudhabi']"
AE,6,5,"['burdubai', 'oldcitydubai', 'dubaikreek', 'germani', 'luxuri', 'dubaifram', 'grattitud', 'myfitnessp', 'nikevaporfli', 'frame']"
AE,6,6,"['sunset', 'covid', 'marinawalk', 'bastakiya', 'golddubai', 'dubaifram', 'burjalarab', 'jumeirah', 'missfli', 'dubai']"
AE,6,7,"['importantnot', 'chip', 'homemad', 'dessert', 'bake', 'cooki', 'chocol', 'biscuit', 'factori', 'cement']"
AE,6,8,"['eatloc', 'crewpakistan', 'bebuzz', 'tiktokpatn', 'ramadanmem', 'teamdhoraji', 'ahtishamfam', 'tiktokgirl', 'tiktokpakistan', 'ramshayasir']"
AE,6,9,"['swim', 'travel', 'cricket', 'happi', 'live', 'staysaf', 'train', 'dubai', 'life', 'covid']"
AE,7,0,"['naif', 'mission', 'thankyou', 'missyoumyteam', 'newnorm', 'communiti', 'corona', 'goggl', 'cabincrewlif', 'facemask']"
AE,7,1,"['interior', 'architectur', 'decor', 'design', 'dubailif', 'washroomdesign', 'interiorstyl', 'interiordesign', 'home', 'furnitur']"
AE,7,2,"['alain', 'abudhabi', 'follow', 'mentalhealth', 'icrc', 'redcross', 'inaword', 'redcresc', 'illustr', 'jumeirah']"
AE,7,3,"['follow', 'burjkhalifa', 'branch', 'weekend', 'khaleej', 'perfum', 'dokhoon', 'likesforlik', 'sunni', 'happi']"
AE,7,4,"['myreview', 'review', 'dubai', 'blogger', 'instadaili', 'missfli', 'etihadairway', 'spreadlov', 'skill', 'yammi']"
AR,0,0,"['artesan', 'chevrolet', 'cuarentena', 'encasa', 'lavado', 'meguiar', 'menzerna', 'onix', 'sonax']"
AR,1,0,"['tapaboca', 'tartag', 'oran', 'salta', 'coronavirus', 'barbijo', 'covid', 'clasesonlin', 'fadu', 'ubafadu']"
AR,1,1,"['protocolo', 'ramosmejia', 'salud', 'argentina', 'yomequedoencasa', 'paranaentrerio', 'enfermero', 'buenosair', 'trabajador', 'byvkid']"
AR,1,2,"['proteccion', 'covid', 'coronavirus', 'argentina', 'lalocreus', 'tapaboca', 'pintadoamano', 'marykay', 'hotel', 'bioseguridad']"
AR,1,3,"['psicologia', 'cuarentenamood', 'pandemia', 'incertidumbr', 'cuarentena', 'emprendedor', 'diseografico', 'sisepu', 'estilodevida', 'cubreboca']"
AR,1,4,"['sticker', 'laboratorio', 'higa', 'olavarria', 'tattoo', 'tatuaj', 'urban', 'plan', 'modernart', 'residenti']"
AR,1,5,"['primaverateamo', 'tecuido', 'cuidadar', 'sublimado', 'piapia', 'sanjuan', 'quedateencasa', 'covid', 'mecuido', 'estampado']"
AR,1,6,"['farmacia', 'ltimo', 'pandemia', 'covid', 'santafeciudadok', 'instabeauti', 'tapaboca', 'laplatac', 'comedor', 'barbijo']"
AR,1,7,"['tienda', 'santaf', 'suipacha', 'atencion', 'servicio', 'tiendaonlin', 'precio', 'quedatenecasa', 'calidad', 'tiendalosnegro']"
AR,1,8,"['meguiar', 'menzerna', 'lavado', 'artesan', 'sonax', 'encasa', 'barbijo', 'diseoscreativo', 'chevrolet', 'cuarentena']"
AR,1,9,"['covid', 'balloon', 'hacemosenvo', 'ropadechico', 'cuidat', 'liquidacin', 'quedateencasa', 'yomequedoencasa', 'juegodecocina', 'paseo']"
AR,2,0,"['dvdcollect', 'entretenimiento', 'peli', 'pelicula', 'quedateencasa', 'terror', 'videometrook']"
AR,3,0,"['pandemia', 'juev', 'tecuidamo', 'salud', 'saavedra', 'quedateencasa', 'platodeldia', 'coghlan', 'elbuencom', 'deliveri']"
AR,4,0,"['argentina', 'cuidar', 'escritorio', 'neuquen', 'patagonia', 'prevencion', 'protocolo', 'seguridad', 'trabajo', 'yotecuido']"
AR,5,0,"['lasamo', 'justicasoci', 'compartir', 'cubreboca', 'gracia', 'quedateencasa', 'todorojo', 'argentina', 'barbijo', 'pandemia']"
AR,5,1,"['invierno', 'pantalon', 'onlin', 'pijama', 'cuarentena', 'skate', 'covidart', 'covid', 'barbijo', 'uasperfecta']"
AR,5,2,"['pandemia', 'buenosair', 'argentina', 'covid', 'berazategui', 'tucumn', 'primavera', 'salud', 'quedateencasa', 'bici']"
AR,5,3,"['covid', 'picoftheday', 'niosconhambr', 'ccpbair', 'elosotrapeador', 'coronavirus', 'argentina', 'dadelasanidad', 'lhmivida', 'animegirl']"
AR,5,4,"['picoftheday', 'rosario', 'tigreciudad', 'nordeltacc', 'nordelta', 'tapaboca', 'cabaaovina', 'ovino', 'barbijo', 'disneyprincess']"
AR,5,5,"['instap', 'startup', 'rememb', 'week', 'viajar', 'iloverun', 'mision', 'pictoftheday', 'lugar', 'curentena']"
AR,5,6,"['pandemia', 'dalelik', 'abrazo', 'yomequedoencasa', 'familia', 'cumpleaosfeliz', 'netflix', 'covid', 'tapaboca', 'icpconcern']"
AR,5,7,"['conjunto', 'nina', 'otono', 'verano', 'mujer', 'moda', 'pijama', 'primavera', 'cuarentena', 'cortepelohombr']"
AR,5,8,"['personaldesalud', 'socialmedia', 'bigbangtheori', 'winonaryd', 'movi', 'spooki', 'horror', 'sheldoncoop', 'halloween', 'beetleju']"
AR,5,9,"['usaelbarbijo', 'hospitalpiero', 'resid', 'despu', 'donaplasma', 'photograph', 'fade', 'classic', 'degradado', 'hipster']"
AR,6,0,"['cuarentena', 'pandemia', 'platodeldia', 'elpoint', 'elbuencom', 'coghlan', 'coronavirus', 'quedateencasa', 'villapueyrredon', 'saavedra']"
AR,6,1,"['puppylov', 'puppi', 'farmacia', 'americanbulli', 'quarantin', 'covid', 'quedateencasa', 'pandemia', 'dogsofinstagram', 'rosario']"
AR,6,2,"['bird', 'condor', 'trento', 'ecourbanatuc', 'coronavirus', 'neuquen', 'argentina', 'tapaboca', 'photograph', 'personaldesalud']"
AR,6,3,"['covid', 'mijd', 'justicia', 'ralcastel', 'movimiento', 'mijdcbaofici', 'dignidad', 'independi', 'coronavirus', 'tapaboca']"
AR,6,4,"['delicioso', 'rcdrift', 'cardetail', 'detailingworld', 'carcar', 'muffin', 'confiteria', 'saborizado', 'pansaborizado', 'lanusoest']"
AR,6,5,"['aeropuerto', 'vivanco', 'covid', 'argentinaunida', 'activemo', 'break', 'vuelo', 'reanudacin', 'opcionesdeplato', 'tigr']"
AR,6,6,"['comuna', 'bordado', 'cordoba', 'pandemia', 'argentina', 'architect', 'build', 'construct', 'ropadehombr', 'qudateencasa']"
AR,6,7,"['barbijo', 'canondeozono', 'tapaboca', 'rayban', 'pandemia', 'eumescrea', 'pergamino', 'cuarentena', 'virus', 'paracadaocasin']"
AR,6,8,"['pandemia', 'cuarentena', 'pijama', 'conjunto', 'nina', 'otono', 'primavera', 'mujer', 'verano', 'moda']"
AR,6,9,"['invierno', 'todorojo', 'cerrobayo', 'snowboard', 'malditovirus', 'backflip', 'argentina', 'journal', 'millonario', 'uniondesantaf']"
